REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
SIMPLICITY,ID,GasExtraction,GAS,2015,2.503044
SIMPLICITY,ID,NGCC2,SEC_EL,2015,1.6776433999999998
SIMPLICITY,ID,TD,FEL,2015,1.5937612299999997
SIMPLICITY,IN,GasExtraction,GAS,2015,3.0
SIMPLICITY,IN,GasImport1,GAS,2015,0.33939521
SIMPLICITY,IN,NGCC2,SEC_EL,2015,2.2382005
SIMPLICITY,IN,TD,FEL,2015,2.126290475
SIMPLICITY,SD,GasExtraction,GAS,2015,3.0
SIMPLICITY,SD,GasImport1,GAS,2015,0.12880498
SIMPLICITY,SD,NGCC2,SEC_EL,2015,2.0970543
SIMPLICITY,SD,TD,FEL,2015,1.9922015849999999
SIMPLICITY,SN,GasExtraction,GAS,2015,2.087122
SIMPLICITY,SN,NGCC2,SEC_EL,2015,1.3988753
SIMPLICITY,SN,TD,FEL,2015,1.328931535
SIMPLICITY,WD,GasExtraction,GAS,2015,3.0
SIMPLICITY,WD,GasImport1,GAS,2015,1.1729916
SIMPLICITY,WD,NGCC2,SEC_EL,2015,2.7969112999999997
SIMPLICITY,WD,TD,FEL,2015,2.6570657349999998
SIMPLICITY,WN,GasExtraction,GAS,2015,3.0
SIMPLICITY,WN,GasImport1,GAS,2015,1.17174
SIMPLICITY,WN,NGCC2,SEC_EL,2015,2.7960724
SIMPLICITY,WN,TD,FEL,2015,2.65626878
