REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
SIMPLICITY,NGCC2,1,2015,GAS,ID,2.5030439527999997
SIMPLICITY,NGCC2,1,2015,GAS,IN,3.339395146
SIMPLICITY,NGCC2,1,2015,GAS,SD,3.1288050156
SIMPLICITY,NGCC2,1,2015,GAS,SN,2.0871219476
SIMPLICITY,NGCC2,1,2015,GAS,WD,4.172991659599999
SIMPLICITY,NGCC2,1,2015,GAS,WN,4.1717400208
SIMPLICITY,TD,1,2015,SEC_EL,ID,1.6776433999999998
SIMPLICITY,TD,1,2015,SEC_EL,IN,2.2382005
SIMPLICITY,TD,1,2015,SEC_EL,SD,2.0970543
SIMPLICITY,TD,1,2015,SEC_EL,SN,1.3988753
SIMPLICITY,TD,1,2015,SEC_EL,WD,2.7969112999999997
SIMPLICITY,TD,1,2015,SEC_EL,WN,2.7960724
